Id,Time[ns],0:SPI: MISO data,0:SPI: MOSI data
1,155857150.00,0E,07
2,155864000.00,0E,A5
3,155875150.00,0E,50
4,155881700.00,00,53
5,155892350.00,8E,08
6,155899750.00,63,A5
7,155908000.00,00,A5
8,155916250.00,00,A5
9,155924450.00,00,A5

10,256226150.00,8E,07
11,256233050.00,8E,A5

12,256244100.00,8E,50
13,256250650.00,00,53

14,256262300.00,0E,20
15,256268850.00,00,0B
16,256280400.00,0E,21
17,256286950.00,00,3F
18,256298500.00,0E,22
19,256305050.00,00,3F
20,256320150.00,0E,23
21,256326700.00,00,03
22,256338250.00,0E,24
23,256344800.00,00,1F
24,256356350.00,0E,25
25,256362900.00,00,3C
26,256374450.00,0E,26
27,256381000.00,00,07
28,256392550.00,0E,27
29,256399100.00,00,07
30,256410650.00,0E,28
31,256417200.00,00,00
32,256428750.00,0E,29
33,256435300.00,00,00

34,256446850.00,0E,2C
35,256453400.00,00,C3
36,256464950.00,0E,2D
37,256471500.00,00,C4
38,256483050.00,0E,2E
39,256489600.00,00,C5
40,256501150.00,0E,2F
41,256507700.00,00,C6

42,256519250.00,0E,31
43,256525800.00,00,20
44,256537350.00,0E,32
45,256543900.00,00,20
46,256555450.00,0E,33
47,256565550.00,00,20
48,256577100.00,0E,34
49,256583650.00,00,20
50,256595200.00,0E,35
51,256601750.00,00,20
52,256613300.00,0E,36
53,256619850.00,00,20
54,256631400.00,0E,37
55,256637950.00,00,00

56,256648450.00,0E,2A
57,256656150.00,00,65
58,256663600.00,00,65
59,256671100.00,00,65
60,256678600.00,00,65
61,256686100.00,00,65
62,256696750.00,0E,30
63,256704450.00,00,65
64,256711900.00,00,65
65,256719400.00,00,65
66,256726900.00,00,65
67,256734400.00,00,65

68,256744700.00,0E,1D
69,256751550.00,00,A5
70,256762350.00,0E,50
71,256768900.00,00,73
72,256780200.00,0E,3C
73,256786750.00,00,3F
74,256798300.00,0E,3D
75,256804850.00,00,07

76,256820200.00,0E,07
77,256827050.00,0E,A5
78,256838250.00,0E,50
79,256844800.00,00,53

80,256905800.00,8E,20
81,256913450.00,00,40
82,256920950.00,00,4B
83,256928450.00,00,01
84,256935900.00,00,E2
85,256997250.00,8E,21
86,257004950.00,00,C0
87,257012450.00,00,4B
88,257019950.00,00,00
89,257027400.00,00,00
90,257096200.00,8E,22
91,257103900.00,00,D0
92,257111350.00,00,FC
93,257118850.00,00,8C
94,257126350.00,00,02
95,257187700.00,8E,23
96,257195350.00,00,99
97,257202850.00,00,00
98,257210350.00,00,39
99,257217850.00,00,21

100,257279200.00,8E,24
101,257286850.00,00,F9
102,257294350.00,00,96
103,257301850.00,00,82
104,257314050.00,00,1B

105,257375450.00,8E,25
106,257383100.00,00,24
107,257390600.00,00,06
108,257398100.00,00,0F
109,257405600.00,00,A6

110,257467250.00,8E,2C
111,257474900.00,00,00
112,257482400.00,00,12
113,257489900.00,00,73
114,257497400.00,00,00

115,257559000.00,8E,2D
116,257569050.00,00,36
117,257576550.00,00,B4
118,257584000.00,00,80
119,257591500.00,00,00

120,257602500.00,8E,2E
121,257610250.00,00,41
122,257617800.00,00,10
123,257625350.00,00,04
124,257632900.00,00,82
125,257640450.00,00,20
126,257648000.00,00,08
127,257655550.00,00,08
128,257663100.00,00,F2
129,257670650.00,00,7D
130,257678200.00,00,EF
131,257685750.00,00,FF

132,267744050.00,8E,07
133,267750950.00,8E,A5
134,267762000.00,8E,50
135,267768550.00,00,53

136,267779250.00,0E,E2
137,267785800.00,0E,00
138,267795750.00,0E,07
139,267802600.00,0E,A5

140,267813200.00,0E,27
141,267819800.00,00,0E
142,267829700.00,0E,00
143,267841300.00,0B,A5
144,267852000.00,0E,20
145,267858550.00,00,0B
146,267869050.00,0E,20
147,267875600.00,00,09
148,277948600.00,0E,20
149,277955150.00,00,0B

150,310574700.00,0E,2A
151,310582450.00,00,65
152,310590000.00,00,65
153,310597550.00,00,65
154,310605100.00,00,65
155,310612650.00,00,65
156,310623250.00,0E,30
157,310631000.00,00,65
158,310638550.00,00,65
159,310646100.00,00,65
160,310653650.00,00,65
161,310661200.00,00,65

162,310699400.00,0E,07
163,310706300.00,0E,A5
164,360350100.00,0E,07
165,360356950.00,0E,A5
166,410470100.00,0E,07
167,410477000.00,0E,A5
