Id,Time[ns],0:I²C: Address/Data
1,10006050.00,Start
2,10006100.00,Stop
3,10006150.00,Start
4,10006200.00,Stop
5,10006250.00,Start
6,10006300.00,Stop
7,288011500.00,Start
8,288014350.00,Stop
9,288016800.00,Start
10,288027000.00,Address write: 68
11,288061400.00,Write
12,288069550.00,ACK
13,288084800.00,Data write: 75
14,288127200.00,ACK
15,288148600.00,Start repeat
16,288158900.00,Address read: 68
17,288193200.00,Read
18,288201400.00,ACK
19,288214050.00,Data read: 72
20,288282500.00,NACK
21,288293600.00,Stop
22,288297650.00,Start
23,288300500.00,Stop
24,288302950.00,Start
25,288313150.00,Address write: 68
26,288347550.00,Write
27,288355700.00,ACK
28,288370950.00,Data write: 0C
29,288418250.00,ACK
30,288432250.00,Start repeat
31,288442500.00,Address read: 68
32,288476850.00,Read
33,288485000.00,ACK
34,288497700.00,Data read: 00
35,288566150.00,NACK
36,288577200.00,Stop
37,288581250.00,Start
38,288584150.00,Stop
39,288586550.00,Start
40,288596850.00,Address write: 68
41,288631200.00,Write
42,288644100.00,ACK
43,288659300.00,Data write: 6B
44,288701600.00,ACK
45,288716800.00,Data write: 80
46,288759400.00,ACK
47,288774900.00,Stop
48,298825300.00,Start
49,298828150.00,Stop
50,298830600.00,Start
51,298840850.00,Address write: 68
52,298875250.00,Write
53,298883350.00,ACK
54,298898600.00,Data write: 6B
55,298945650.00,ACK
56,298960850.00,Data write: 03
57,299003350.00,ACK
58,299018850.00,Stop
59,299022700.00,Start
60,299025550.00,Stop
61,299028000.00,Start
62,299038250.00,Address write: 68
63,299072650.00,Write
64,299080750.00,ACK
65,299095950.00,Data write: 19
66,299138400.00,ACK
67,299153650.00,Data write: 01
68,299203600.00,ACK
69,299219100.00,Stop
70,299222900.00,Start
71,299225800.00,Stop
72,299228200.00,Start
73,299238500.00,Address write: 68
74,299272900.00,Write
75,299281000.00,ACK
76,299296200.00,Data write: 1A
77,299338650.00,ACK
78,299353850.00,Data write: 03
79,299396350.00,ACK
80,299411850.00,Stop
81,299420400.00,Start
82,299423300.00,Stop
83,299425750.00,Start
84,299436000.00,Address write: 68
85,299470400.00,Write
86,299478500.00,ACK
87,299493750.00,Data write: 1B
88,299536100.00,ACK
89,299551350.00,Data write: 18
90,299593850.00,ACK
91,299609350.00,Stop
92,299613150.00,Start
93,299616000.00,Stop
94,299618450.00,Start
95,299628700.00,Address write: 68
96,299663100.00,Write
97,299675950.00,ACK
98,299691200.00,Data write: 1C
99,299733600.00,ACK
100,299748850.00,Data write: 10
101,299791400.00,ACK
102,299806900.00,Stop
103,299810750.00,Start
104,299813600.00,Stop
105,299816050.00,Start
106,299826300.00,Address write: 68
107,299860700.00,Write
108,299868800.00,ACK
109,299884050.00,Data write: 38
110,299931150.00,ACK
111,299946350.00,Data write: 00
112,299989000.00,ACK
113,300004500.00,Stop
114,300008300.00,Start
115,300011150.00,Stop
116,300013600.00,Start
117,300023850.00,Address write: 68
118,300058250.00,Write
119,300066350.00,ACK
120,300081600.00,Data write: 37
121,300123900.00,ACK
122,300139150.00,Data write: 10
123,300189050.00,ACK
124,300204550.00,Stop
125,300208500.00,Start
126,300211350.00,Stop
127,300213800.00,Start
128,300224000.00,Address write: 68
129,300258400.00,Write
130,300266550.00,ACK
131,300281800.00,Data write: 37
132,300324150.00,ACK
133,300338200.00,Start repeat
134,300348450.00,Address read: 68
135,300382750.00,Read
136,300390950.00,ACK
137,300403600.00,Data read: 10
138,300476750.00,NACK
139,300487800.00,Stop
